"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",589,"33312",990,6,"Broward","Broward-33312","Fort Lauderdale","Lauderhill, Hollywood, Dania Beach, Davie, Fort Lauderdale, Plantation, Boulevard Gardens, Broadview Park, Washington Park",109,"Broward-33312","Davie, Fort Lauderdale, Lauderhill","2108",2108
"Florida",590,"33313",991,6,"Broward","Broward-33313","Fort Lauderdale","Sunrise, Lauderdale Lakes, Lauderhill, Plantation",110,"Broward-33313","City Of Sunrise, Fort Lauderdale, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Sunrise","2400",2400
"Florida",591,"33314",992,6,"Broward","Broward-33314","Fort Lauderdale","Hollywood, Dania Beach, Davie",111,"Broward-33314","Dania Beach, Davie, Fort Lauderdale, Hollywood, Pompano Beach, Tamarac","1110",1110
"Florida",592,"33315",993,6,"Broward","Broward-33315","Fort Lauderdale","Dania Beach, Fort Lauderdale",112,"Broward-33315","Fort Lauderdale","550",550
"Florida",593,"33316",994,6,"Broward","Broward-33316","Fort Lauderdale","Hollywood, Dania Beach, Fort Lauderdale",113,"Broward-33316","Fort Lauderdale, Port Everglades","1232",1232
"Florida",594,"33317",995,6,"Broward","Broward-33317","Fort Lauderdale","Sunrise, Davie, Fort Lauderdale, Plantation, Broadview Park",114,"Broward-33317","Davie, Fort Lauderdale, Plantation","1393",1393
"Florida",595,"33319",996,6,"Broward","Broward-33319","Fort Lauderdale","North Lauderdale, Sunrise, Tamarac, Lauderdale Lakes, Lauderhill, Fort Lauderdale",115,"Broward-33319","Fort Lauderdale, Lauderdale Lakes, Lauderhill, North Lauderdale, Sunrise, Tamarac","1816",1816
"Florida",596,"33321",997,6,"Broward","Broward-33321","Fort Lauderdale","Coral Springs, North Lauderdale, Sunrise, Tamarac",116,"Broward-33321","Fort Lauderdale, Tamarac","1690",1690
"Florida",597,"33322",998,6,"Broward","Broward-33322","Fort Lauderdale","Sunrise, Plantation",117,"Broward-33322","Fort Lauderdale, Plantation, Sunrise","874",874
"Florida",598,"33323",999,6,"Broward","Broward-33323","Fort Lauderdale","Sunrise, Davie, Plantation",118,"Broward-33323","Fort Lauderdale, Plantation, Sunrise","672",672
"Florida",599,"33324",1000,6,"Broward","Broward-33324","Fort Lauderdale","Davie, Plantation",119,"Broward-33324","Davie, Fort Lauderdale, Plantation","1200",1200
"Florida",600,"33325",1001,6,"Broward","Broward-33325","Fort Lauderdale","Sunrise, Davie, Plantation",120,"Broward-33325","Davie, Fort Lauderdale, Plantation, Sunrise","1037",1037
"Florida",601,"33326",1002,6,"Broward","Broward-33326","Fort Lauderdale","Sunrise, Weston, Davie",121,"Broward-33326","Davie, Fort Lauderdale, Sunrise, Weston","1036",1036
"Florida",602,"33327",1003,6,"Broward","Broward-33327","Fort Lauderdale","Coral Springs, Sunrise, Tamarac, Weston",122,"Broward-33327","Fort Lauderdale, Weston","597",597
